id,county,percent drove,percent public trans
0500000US06077,"San Joaquin County, California",91.3,1.5
0500000US06005,"Amador County, California",89.9,0.1
0500000US06047,"Merced County, California",89.6,1.2
0500000US06033,"Lake County, California",82.8,1
0500000US06043,"Mariposa County, California",75,2.4
0500000US06049,"Modoc County, California",77.8,0.5
0500000US06115,"Yuba County, California",91.7,1
0500000US06013,"Contra Costa County, California",79.8,10.3
0500000US06027,"Inyo County, California",81.9,1.3
0500000US06035,"Lassen County, California",89.8,0.7
0500000US06099,"Stanislaus County, California",91.4,0.8
0500000US06083,"Santa Barbara County, California",81.6,3.2
0500000US06089,"Shasta County, California",89.5,0.6
0500000US06095,"Solano County, California",90.2,3
0500000US06015,"Del Norte County, California",88.2,0.6
0500000US06011,"Colusa County, California",91.1,0.3
0500000US06021,"Glenn County, California",88.4,0.4
0500000US06007,"Butte County, California",86.1,1.2
0500000US06031,"Kings County, California",90,0.9
0500000US06063,"Plumas County, California",88.8,0.1
0500000US06079,"San Luis Obispo County, California",84.8,1.4
0500000US06019,"Fresno County, California",90.3,1.2
0500000US06029,"Kern County, California",92.1,0.9
0500000US06059,"Orange County, California",88.4,2.2
0500000US06111,"Ventura County, California",89.7,1.3
0500000US06009,"Calaveras County, California",88.9,1
0500000US06101,"Sutter County, California",91.4,0.8
0500000US06081,"San Mateo County, California",79.3,10.4
0500000US06109,"Tuolumne County, California",88.8,0.6
0500000US06097,"Sonoma County, California",86,1.9
0500000US06103,"Tehama County, California",90.7,0.3
0500000US06025,"Imperial County, California",90.3,0.8
0500000US06051,"Mono County, California",51.8,19.7
0500000US06069,"San Benito County, California",93.8,0.5
0500000US06001,"Alameda County, California",72.1,14.6
0500000US06067,"Sacramento County, California",87.5,2.7
0500000US06017,"El Dorado County, California",86.3,1.8
0500000US06055,"Napa County, California",87.5,1.4
0500000US06053,"Monterey County, California",81.8,1.7
0500000US06075,"San Francisco County, California",41.1,34
0500000US06091,"Sierra County, California",77.8,0
0500000US06073,"San Diego County, California",84.8,3.1
0500000US06107,"Tulare County, California",92.3,0.7
0500000US06113,"Yolo County, California",78.5,3.9
0500000US06023,"Humboldt County, California",81.2,1.9
0500000US06057,"Nevada County, California",82.9,1.2
0500000US06003,"Alpine County, California",75.3,0
0500000US06039,"Madera County, California",91.9,0.5
0500000US06045,"Mendocino County, California",84.7,0.3
0500000US06087,"Santa Cruz County, California",78.2,2.8
0500000US06105,"Trinity County, California",78.8,0.1
0500000US06037,"Los Angeles County, California",83.3,6.3
0500000US06065,"Riverside County, California",90.1,1.3
0500000US06071,"San Bernardino County, California",90.9,1.5
0500000US06085,"Santa Clara County, California",85.5,4.4
0500000US06041,"Marin County, California",73.4,9.8
0500000US06061,"Placer County, California",87.3,1.3
0500000US06093,"Siskiyou County, California",84.3,0.7