id,county,population,percent male,percent 65+,percent white,percent black,percent latino (ethnicity)
0500000US06033,"Lake County, California",64095,49.6,21.2,77.8,2.3,19.4
0500000US06043,"Mariposa County, California",17658,50.2,26,89,1.2,10.6
0500000US06049,"Modoc County, California",9017,51.7,24.6,91.4,0.7,14.6
0500000US06115,"Yuba County, California",74644,51,11.6,73.1,3.3,27.4
0500000US06013,"Contra Costa County, California",1123678,48.8,14.6,58.6,8.6,25.3
0500000US06027,"Inyo County, California",18195,50.4,21.8,80.7,1,21.4
0500000US06035,"Lassen County, California",31470,66.1,12.7,81.4,8.7,18.5
0500000US06099,"Stanislaus County, California",535684,49.4,12.3,74.8,2.8,45
0500000US06083,"Santa Barbara County, California",442996,50.1,14.3,74.7,1.9,44.8
0500000US06097,"Sonoma County, California",500943,49,17.4,75.3,1.6,26.4
0500000US06103,"Tehama County, California",63247,49.7,18.5,86,0.6,24.2
0500000US06025,"Imperial County, California",179957,51.1,12.1,65.1,2.7,83.4
0500000US06051,"Mono County, California",14058,52.9,13.7,85.3,0.5,27.1
0500000US06069,"San Benito County, California",58671,49.8,11.7,82,0.8,58.9
0500000US06001,"Alameda County, California",1629615,49.1,12.8,42.6,11.1,22.5
0500000US06067,"Sacramento County, California",1495400,48.9,13,58.7,9.9,22.8
0500000US06017,"El Dorado County, California",185015,49.9,18.9,87.5,1,12.6
0500000US06055,"Napa County, California",141005,49.9,17.4,72.6,2.1,33.7
0500000US06053,"Monterey County, California",433168,51,12.4,64.9,2.6,57.9
0500000US06075,"San Francisco County, California",864263,51,14.9,47.2,5.3,15.3
0500000US06091,"Sierra County, California",2885,51.6,26.4,96.9,0.1,10.1
0500000US06073,"San Diego County, California",3283665,50.3,12.9,70.8,5,33.4
0500000US06107,"Tulare County, California",458809,50,10.7,78.9,1.6,63.6
0500000US06113,"Yolo County, California",212605,48.7,11.5,67.2,2.5,31.4
0500000US06023,"Humboldt County, California",135490,49.8,16.1,80.7,1.2,11.1
0500000US06057,"Nevada County, California",98838,49.3,24.4,92.1,0.6,9.2
0500000US06003,"Alpine County, California",1203,55.2,27.5,68.7,1.5,9.7
0500000US06039,"Madera County, California",154440,48.3,13.1,76.7,3.2,56.9
0500000US06045,"Mendocino County, California",87497,49.9,19.7,82.7,0.7,24.5
0500000US06087,"Santa Cruz County, California",273263,49.6,14.2,77.3,0.9,33.3
0500000US06105,"Trinity County, California",13037,50.6,25.5,86.6,0.8,7.2
0500000US06037,"Los Angeles County, California",10105722,49.3,12.5,51.8,8.2,48.4
0500000US06065,"Riverside County, California",2355002,49.8,13.5,61.6,6.3,48
0500000US06071,"San Bernardino County, California",2121220,49.7,10.6,61.9,8.4,52.3
0500000US06085,"Santa Clara County, California",1911226,50.4,12.6,45.5,2.5,26.1
0500000US06041,"Marin County, California",260814,48.9,20.3,78.2,2.2,15.9
0500000US06061,"Placer County, California",374985,48.8,18.2,82.7,1.5,13.6
0500000US06093,"Siskiyou County, California",43530,49.9,23.4,85.1,1.6,12
0500000US06089,"Shasta County, California",178919,49,19.4,86.9,1.1,9.6
0500000US06095,"Solano County, California",434981,49.7,14.2,52.7,14.2,25.8
0500000US06015,"Del Norte County, California",27442,54.7,15.9,76.8,1.8,19.2
0500000US06011,"Colusa County, California",21479,51.9,13.4,88.3,0.9,58.4
0500000US06021,"Glenn County, California",27935,50.9,14.9,83,0.8,40.8
0500000US06007,"Butte County, California",225207,49.5,17.3,82.2,1.5,15.7
0500000US06009,"Calaveras County, California",45057,49.5,25.7,91.8,0.6,11.5
0500000US06031,"Kings County, California",150183,55.3,9.5,66,6.4,53.7
0500000US06063,"Plumas County, California",18724,50.4,25.8,89.6,0.9,8.5
0500000US06079,"San Luis Obispo County, California",280119,50.8,18.1,85.9,1.9,22.2
0500000US06019,"Fresno County, California",971616,49.9,11.4,63.5,4.9,52.4
0500000US06029,"Kern County, California",878744,51.3,10.2,75.1,5.5,52.2
0500000US06059,"Orange County, California",3155816,49.4,13.5,62.1,1.7,34.2
0500000US06111,"Ventura County, California",847834,49.5,14.1,79.9,1.7,42.3
0500000US06101,"Sutter County, California",95583,49.8,14.6,70.3,2.1,30.2
0500000US06081,"San Mateo County, California",763450,49.3,15.1,52.1,2.4,24.9
0500000US06109,"Tuolumne County, California",53899,52,24.1,87.5,1.8,11.8
0500000US06077,"San Joaquin County, California",724153,49.7,12,55.9,7,40.8
0500000US06005,"Amador County, California",37306,53.6,25.6,87,2.1,13.2
0500000US06047,"Merced County, California",267390,50.5,10.7,57.5,3.2,58.2