id,county,household size
0500000US06077,"San Joaquin County, California",3.17
0500000US06005,"Amador County, California",2.37
0500000US06047,"Merced County, California",3.3
0500000US06033,"Lake County, California",2.4
0500000US06043,"Mariposa County, California",2.23
0500000US06049,"Modoc County, California",2.34
0500000US06115,"Yuba County, California",2.83
0500000US06013,"Contra Costa County, California",2.86
0500000US06027,"Inyo County, California",2.19
0500000US06035,"Lassen County, California",2.28
0500000US06099,"Stanislaus County, California",3.1
0500000US06083,"Santa Barbara County, California",2.94
0500000US06089,"Shasta County, California",2.49
0500000US06095,"Solano County, California",2.88
0500000US06015,"Del Norte County, California",2.5
0500000US06011,"Colusa County, California",3.02
0500000US06021,"Glenn County, California",2.78
0500000US06007,"Butte County, California",2.54
0500000US06031,"Kings County, California",3.18
0500000US06063,"Plumas County, California",2.21
0500000US06079,"San Luis Obispo County, California",2.51
0500000US06019,"Fresno County, California",3.16
0500000US06029,"Kern County, California",3.2
0500000US06059,"Orange County, California",3.04
0500000US06111,"Ventura County, California",3.09
0500000US06009,"Calaveras County, California",2.5
0500000US06101,"Sutter County, California",2.94
0500000US06081,"San Mateo County, California",2.88
0500000US06109,"Tuolumne County, California",2.27
0500000US06097,"Sonoma County, California",2.59
0500000US06103,"Tehama County, California",2.63
0500000US06025,"Imperial County, California",3.77
0500000US06051,"Mono County, California",2.8
0500000US06069,"San Benito County, California",3.35
0500000US06001,"Alameda County, California",2.81
0500000US06067,"Sacramento County, California",2.76
0500000US06017,"El Dorado County, California",2.69
0500000US06055,"Napa County, California",2.79
0500000US06053,"Monterey County, California",3.3
0500000US06075,"San Francisco County, California",2.35
0500000US06091,"Sierra County, California",2.36
0500000US06073,"San Diego County, California",2.87
0500000US06107,"Tulare County, California",3.35
0500000US06113,"Yolo County, California",2.81
0500000US06023,"Humboldt County, California",2.43
0500000US06057,"Nevada County, California",2.42
0500000US06003,"Alpine County, California",3.84
0500000US06039,"Madera County, California",3.29
0500000US06045,"Mendocino County, California",2.5
0500000US06087,"Santa Cruz County, California",2.73
0500000US06105,"Trinity County, California",2.33
0500000US06037,"Los Angeles County, California",3.01
0500000US06065,"Riverside County, California",3.26
0500000US06071,"San Bernardino County, California",3.31
0500000US06085,"Santa Clara County, California",2.98
0500000US06041,"Marin County, California",2.42
0500000US06061,"Placer County, California",2.68
0500000US06093,"Siskiyou County, California",2.26